,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,@data
0,1,2,3,2,4,2,2,2,1,8,negative
1,3,10,3,12,4,10,1,10,2,10,negative
2,1,13,2,6,4,6,3,6,1,6,negative
3,4,1,1,1,3,2,3,1,2,1,negative
4,2,9,4,6,3,9,4,9,1,9,negative
5,2,10,4,10,3,11,1,10,3,10,negative
6,1,13,4,13,3,13,2,7,2,13,negative
7,2,11,1,11,4,11,3,11,4,3,negative
8,3,13,1,13,4,13,2,13,2,12,negative
9,4,7,1,7,3,7,2,7,2,12,negative
10,1,2,1,1,3,1,4,1,2,1,negative
11,2,7,1,2,1,7,3,7,4,7,negative
12,3,5,2,5,4,5,1,5,3,7,negative
13,1,13,3,13,3,11,4,13,2,13,negative
14,4,12,4,1,4,13,4,11,4,10,positive
15,1,12,2,12,4,12,3,12,2,13,negative
16,2,13,4,11,3,11,2,11,1,11,negative
17,1,4,2,4,3,4,1,11,4,4,negative
18,4,2,1,2,2,2,3,13,3,2,negative
19,2,10,3,5,4,5,2,5,1,5,negative
20,1,13,3,13,4,13,2,13,1,3,negative
21,3,1,1,5,3,5,4,5,2,5,negative
22,2,3,1,3,3,3,4,3,3,6,negative
23,1,2,4,2,3,2,4,3,2,2,negative
24,4,4,2,4,2,12,1,4,3,4,negative
25,3,1,1,5,2,5,4,5,3,5,negative
26,4,7,1,7,2,7,3,7,4,2,negative
27,2,2,3,9,4,9,2,9,1,9,negative
28,1,3,3,3,2,2,2,3,4,3,negative
29,1,7,4,8,3,7,2,7,4,7,negative
30,1,6,2,6,4,6,2,12,3,6,negative
31,4,9,1,9,2,4,2,9,3,9,negative
32,1,2,4,2,2,2,3,2,2,3,negative
33,4,10,1,9,2,9,3,9,4,9,negative
34,4,2,1,2,3,2,2,2,1,3,negative
35,4,3,1,3,3,3,2,13,2,3,negative
36,3,5,4,8,1,5,2,5,4,5,negative
37,3,2,2,2,1,2,4,2,4,7,negative
38,4,3,3,13,1,3,2,3,3,3,negative
39,2,12,1,7,2,7,3,7,4,7,negative
40,3,3,1,3,1,13,2,3,4,3,negative
41,1,4,3,6,3,4,4,4,2,4,negative
42,1,11,4,11,3,8,3,11,2,11,negative
43,3,5,4,5,3,10,1,5,2,5,negative
44,3,9,1,7,4,7,3,7,2,7,negative
45,2,13,3,10,2,10,1,10,4,10,negative
46,1,2,4,1,4,2,3,2,2,2,negative
47,2,4,2,9,1,4,4,4,3,4,negative
48,2,1,3,1,1,1,2,4,4,1,negative
49,1,4,4,4,2,4,3,4,2,1,negative
50,4,3,2,3,3,7,1,3,3,3,negative
51,2,11,3,11,4,1,1,11,4,11,negative
52,3,6,1,6,2,6,3,7,4,6,negative
53,2,9,4,9,2,1,3,9,1,9,negative
54,3,10,4,10,2,5,2,10,1,10,negative
55,3,13,2,13,1,10,4,13,1,13,negative
56,2,2,3,2,1,2,4,2,2,8,negative
57,3,10,2,13,2,10,1,10,4,10,negative
58,2,10,2,11,2,13,2,1,2,12,positive
59,1,11,3,4,1,4,4,4,2,4,negative
60,4,8,3,8,2,8,3,1,1,8,negative
61,3,2,2,11,4,11,3,11,1,11,negative
62,1,9,2,9,3,9,4,9,4,8,negative
63,1,1,4,1,2,1,4,6,3,1,negative
64,4,5,2,5,3,5,1,5,4,7,negative
65,3,12,2,12,1,12,4,12,2,6,negative
66,4,1,1,1,2,1,2,9,3,1,negative
67,2,3,4,5,2,5,3,5,1,5,negative
68,2,11,3,8,2,8,1,8,4,8,negative
69,3,13,2,13,4,13,1,13,3,2,negative
70,4,11,2,11,1,11,3,11,4,13,negative
71,3,11,1,2,4,2,2,2,3,2,negative
72,1,3,3,11,2,3,4,3,3,3,negative
73,2,6,3,6,1,6,4,6,2,2,negative
74,2,13,1,13,4,13,4,12,3,13,negative
75,3,11,1,11,4,7,2,11,4,11,negative
76,2,2,1,4,3,4,2,4,4,4,negative
77,3,8,4,8,1,8,2,8,2,10,negative
78,3,1,4,1,1,1,3,4,2,1,negative
79,2,6,1,9,2,9,3,9,4,9,negative
80,1,1,2,1,3,1,4,1,3,13,negative
81,1,7,4,7,4,9,3,7,2,7,negative
82,4,9,1,9,3,9,3,13,2,9,negative
83,3,9,4,6,4,9,1,9,2,9,negative
84,1,9,1,7,4,9,2,9,3,9,negative
85,2,12,4,12,2,3,1,12,3,12,negative
86,3,6,2,6,3,1,4,6,1,6,negative
87,2,7,1,7,4,10,3,7,4,7,negative
88,4,11,3,11,1,10,2,11,1,11,negative
89,2,6,3,6,4,6,1,6,4,9,negative
90,1,2,2,2,1,4,4,2,3,2,negative
91,3,6,3,12,1,6,2,6,4,6,negative
92,2,10,2,3,3,3,4,3,1,3,negative
93,3,6,1,6,4,6,3,9,2,6,negative
94,3,13,4,13,2,13,1,13,3,3,negative
95,1,1,2,1,3,1,4,1,4,3,negative
96,2,10,4,10,1,10,1,12,3,10,negative
97,2,2,3,2,1,2,1,12,4,2,negative
98,3,11,4,11,1,11,2,11,1,6,negative
99,1,4,2,4,3,4,4,4,2,6,negative
100,1,13,1,8,3,8,4,8,2,8,negative
101,1,3,4,3,2,3,3,3,3,2,negative
102,1,13,2,6,4,13,2,13,3,13,negative
103,2,2,1,7,3,2,1,2,4,2,negative
104,3,6,2,12,1,6,4,6,2,6,negative
105,4,3,1,3,2,12,3,3,2,3,negative
106,4,10,1,1,2,10,1,10,3,10,negative
107,1,5,2,11,4,11,3,11,1,11,negative
108,4,3,3,3,1,3,2,3,2,10,negative
109,4,8,2,8,3,6,3,8,1,8,negative
110,3,5,3,3,2,5,4,5,1,5,negative
111,2,11,4,11,1,11,3,11,3,2,negative
112,4,1,3,3,4,3,1,3,2,3,negative
113,2,6,1,6,3,6,3,12,4,6,negative
114,4,13,4,11,2,11,3,11,1,11,negative
115,2,3,3,3,4,3,1,3,1,5,negative
116,4,2,2,4,3,2,2,2,1,2,negative
117,2,2,2,5,3,2,4,2,1,2,negative
118,2,11,4,11,3,11,1,11,2,9,negative
119,2,6,1,6,4,6,3,6,1,8,negative
120,1,1,1,9,2,9,3,9,4,9,negative
121,3,5,4,5,1,5,2,5,2,1,negative
122,2,4,3,8,2,8,4,8,1,8,negative
123,3,3,2,10,4,10,3,10,1,10,negative
124,4,13,2,6,1,13,2,13,3,13,negative
125,4,5,2,2,1,2,4,2,3,2,negative
126,3,3,1,3,2,3,4,3,3,8,negative
127,3,1,4,1,2,1,1,2,1,1,negative
128,2,13,2,1,3,1,1,1,4,1,negative
129,2,1,3,1,1,1,3,11,4,1,negative
130,2,10,1,10,4,10,2,12,3,10,negative
131,4,1,1,9,3,1,2,1,1,1,negative
132,1,13,3,13,2,13,4,13,2,6,negative
133,1,9,2,9,3,9,4,3,4,9,negative
134,4,4,1,8,3,8,4,8,2,8,negative
135,3,4,4,4,1,4,4,7,2,4,negative
136,2,1,1,1,4,1,3,1,3,13,negative
137,2,9,4,10,4,9,3,9,1,9,negative
138,2,1,1,1,2,4,3,1,4,1,negative
139,2,12,4,12,1,12,4,9,3,12,negative
140,2,13,4,13,3,7,3,13,1,13,negative
141,4,6,2,6,3,1,1,6,3,6,negative
142,2,10,3,10,1,10,2,13,4,10,negative
143,2,9,4,3,3,3,2,3,1,3,negative
144,3,8,2,7,1,7,4,7,3,7,negative
145,1,6,3,6,2,9,4,6,2,6,negative
146,4,6,4,12,2,12,1,12,3,12,negative
147,2,13,1,13,4,13,3,13,1,5,negative
148,4,8,1,8,3,8,3,10,2,8,negative
149,3,9,1,9,3,1,2,9,4,9,negative
150,3,1,4,8,1,1,2,1,4,1,negative
151,2,12,4,12,2,11,3,12,1,12,negative
152,3,4,4,4,2,4,1,4,2,6,negative
153,4,3,1,3,2,3,3,3,4,7,negative
154,1,12,4,12,2,3,2,12,3,12,negative
155,2,1,4,1,3,1,1,1,2,7,negative
156,1,11,4,1,2,1,1,1,3,1,negative
157,2,9,4,9,3,9,1,11,1,9,negative
158,1,9,2,6,4,6,1,6,3,6,negative
159,4,9,3,9,4,8,1,9,2,9,negative
160,1,3,2,8,4,3,2,3,3,3,negative
161,3,5,2,2,2,5,1,5,4,5,negative
162,3,1,2,1,3,5,4,1,1,1,negative
163,1,9,3,9,2,9,3,10,4,9,negative
164,3,3,2,3,4,3,4,9,1,3,negative
165,1,10,4,8,1,8,3,8,2,8,negative
166,3,7,4,7,2,7,2,9,1,7,negative
167,2,3,3,3,1,3,4,3,2,12,negative
168,3,6,1,2,2,2,4,2,3,2,negative
169,1,3,3,3,4,5,4,3,2,3,negative
170,4,8,3,8,1,2,2,8,1,8,negative
171,2,13,4,11,3,13,4,13,1,13,negative
172,2,2,4,6,1,6,3,6,2,6,negative
173,1,3,3,2,1,2,4,2,2,2,negative
174,1,5,1,9,4,9,3,9,2,9,negative
175,3,1,1,1,1,4,2,1,4,1,negative
176,4,5,3,5,1,5,2,5,4,12,negative
177,2,7,4,7,4,10,3,7,1,7,negative
178,1,3,3,12,4,12,2,12,1,12,negative
179,2,6,3,6,1,6,2,9,4,6,negative
180,4,9,1,9,2,9,3,9,3,2,negative
181,3,13,1,13,2,13,4,13,3,12,negative
182,3,1,2,6,3,6,1,6,4,6,negative
183,3,11,2,12,4,11,2,11,1,11,negative
184,3,2,1,2,4,2,2,2,2,12,negative
185,3,2,4,3,2,2,4,2,1,2,negative
186,3,11,2,3,2,11,1,11,4,11,negative
187,4,3,4,6,2,6,3,6,1,6,negative
188,1,7,1,13,4,7,3,7,2,7,negative
189,1,3,3,3,4,3,2,3,1,10,negative
190,1,7,2,7,4,7,4,6,3,7,negative
191,2,6,3,6,4,7,4,6,1,6,negative
192,2,5,1,5,2,1,4,5,3,5,negative
193,2,5,4,10,1,5,4,5,3,5,negative
194,2,11,3,12,4,11,1,11,3,11,negative
195,2,1,3,1,1,1,4,1,4,12,negative
196,4,13,2,13,4,1,3,13,1,13,negative
197,1,11,1,10,2,11,4,11,3,11,negative
198,4,12,4,6,1,12,3,12,2,12,negative
199,1,11,2,11,3,11,2,4,4,11,negative
200,4,9,3,13,3,9,1,9,2,9,negative
201,1,4,4,5,1,5,3,5,2,5,negative
202,3,8,2,8,4,8,1,8,3,1,negative
203,1,4,1,8,2,4,4,4,3,4,negative
204,3,9,4,9,3,7,1,9,2,9,negative
205,3,4,4,4,1,4,2,4,1,3,negative
206,3,12,2,12,3,9,4,12,1,12,negative
207,3,3,1,4,2,3,1,3,4,3,negative
208,3,9,1,9,4,5,2,9,4,9,negative
209,4,5,2,5,3,5,1,5,3,11,negative
210,2,8,3,8,1,8,2,5,4,8,negative
211,4,13,3,1,4,1,1,1,2,1,negative
212,4,13,3,8,4,8,2,8,1,8,negative
213,2,13,3,13,4,13,1,13,4,5,negative
214,1,8,4,8,2,8,3,8,2,7,negative
215,2,8,2,9,3,9,4,9,1,9,negative
216,2,3,1,3,3,8,3,3,4,3,negative
217,1,8,2,8,3,8,1,7,4,8,negative
218,4,1,4,11,4,10,4,12,4,13,positive
219,1,4,3,3,3,4,4,4,2,4,negative
220,1,5,4,5,1,7,2,5,3,5,negative
221,3,9,4,9,2,7,2,9,1,9,negative
222,4,2,2,2,4,13,1,2,3,2,negative
223,3,5,2,11,1,5,2,5,4,5,negative
224,4,2,3,2,2,7,1,2,2,2,negative
225,3,10,1,10,2,10,4,10,4,9,negative
226,3,12,1,12,4,12,2,9,2,12,negative
227,3,4,1,4,4,4,2,8,2,4,negative
228,1,10,4,10,3,10,3,4,2,10,negative
229,1,6,3,6,3,1,4,6,2,6,negative
230,4,7,2,7,3,7,1,7,4,1,negative
231,1,7,4,7,2,7,2,10,3,7,negative
232,4,9,3,13,2,13,1,13,4,13,negative
233,1,10,1,11,1,13,1,12,1,1,positive
234,2,11,2,13,2,10,2,12,2,1,positive
235,3,12,3,11,3,13,3,10,3,1,positive
236,4,10,4,11,4,1,4,13,4,12,positive
237,4,1,4,13,4,12,4,11,4,10,positive
238,3,8,4,8,1,8,1,12,2,8,negative
239,2,8,4,8,3,8,1,8,4,13,negative
240,4,11,2,11,3,11,1,11,2,5,negative
241,3,3,2,3,4,3,1,3,4,13,negative
242,3,8,3,7,2,7,1,7,4,7,negative
243,4,2,2,2,1,2,3,2,4,10,negative
