"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","y"
"1",11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,-1
"2",7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,-1
"3",8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,-1
"4",6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,-1
"5",7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,-1
"6",6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,-1
"7",6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,-1
"8",7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,-1
"9",7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,-1
"10",7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,-1
"11",6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,-1
"12",6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,-1
"13",7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,-1
"14",7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,-1
"15",8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,-1
"16",7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,-1
"17",6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,-1
"18",6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,-1
"19",8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,-1
"20",8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,-1
"21",4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,-1
"22",8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,-1
"23",8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,-1
"24",7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,-1
"25",8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,-1
"26",8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,-1
"27",10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,-1
"28",9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,-1
"29",8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,-1
"30",7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,-1
"31",8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,-1
"32",7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,-1
"33",8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,-1
"34",6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,-1
"35",7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,-1
"36",5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,-1
"37",5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,-1
"38",6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,-1
"39",8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,-1
"40",7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,-1
"41",6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,-1
"42",7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,-1
"43",6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,-1
"44",8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,-1
"45",8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,-1
"46",7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,-1
"47",7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,-1
"48",6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,-1
"49",6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,-1
"50",11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,-1
"51",7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,-1
"52",9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,-1
"53",8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,-1
"54",11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,-1
"55",7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,-1
"56",7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,-1
"57",8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,-1
"58",7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,-1
"59",8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,-1
"60",7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,-1
"61",8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,-1
"62",8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,-1
"63",8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,-1
"64",7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,-1
"65",7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,-1
"66",7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,-1
"67",7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,-1
"68",8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,-1
"69",12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,-1
"70",7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,-1
"71",7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,-1
"72",7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,-1
"73",7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,-1
"74",10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,-1
"75",7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,-1
"76",7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,-1
"77",7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,1
"78",6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,-1
"79",11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,-1
"80",7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,-1
"81",11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,-1
"82",7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,-1
"83",6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,-1
"84",11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,-1
"85",10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,1
"86",11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,-1
"87",12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,-1
"88",7.5,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3,-1
"89",10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,-1
"90",6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,-1
"91",13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,-1
"92",7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,-1
"93",11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,-1
"94",10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,-1
"95",10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,-1
"96",10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,-1
"97",7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,-1
"98",10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,-1
"99",7.9,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4,-1
"100",9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,-1
"101",7.1,0.35,0.29,2.5,0.096,20,53,0.9962,3.42,0.65,11,-1
"102",9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,-1
"103",9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,-1
"104",10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,-1
"105",10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,-1
"106",10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,-1
"107",13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,-1
"108",10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,-1
"109",10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,-1
"110",8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4,-1
"111",8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,-1
"112",12.4,0.49,0.58,3,0.103,28,99,1.0008,3.16,1,11.5,-1
"113",12.2,0.34,0.5,2.4,0.066,10,21,1,3.12,1.18,9.2,-1
"114",10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3,-1
"115",10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,-1
"116",10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,-1
"117",11.9,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7,-1
"118",13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,-1
"119",9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,-1
"120",9.1,0.785,0,2.6,0.093,11,28,0.9994,3.36,0.86,9.4,-1
"121",10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9,-1
"122",9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,-1
"123",6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,-1
"124",6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,-1
"125",12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,-1
"126",8.6,0.45,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9,-1
"127",10,0.42,0.5,3.4,0.107,7,21,0.9979,3.26,0.93,11.8,-1
"128",7.9,0.24,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7,-1
"129",9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,-1
"130",14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8,-1
"131",11.5,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11,-1
"132",11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3,-1
"133",8.3,0.42,0.38,2.5,0.094,24,60,0.9979,3.31,0.7,10.8,-1
"134",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,-1
"135",13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,-1
"136",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,-1
"137",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,-1
"138",7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,-1
"139",7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2,-1
"140",8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6,-1
"141",7.8,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2,-1
"142",5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,1
"143",13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,-1
"144",11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,-1
"145",11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,-1
"146",7.7,0.26,0.3,1.7,0.059,20,38,0.9949,3.29,0.47,10.8,-1
"147",12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,-1
"148",11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,-1
"149",8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,-1
"150",9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,-1
"151",10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,-1
"152",9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,-1
"153",10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,-1
"154",11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,-1
"155",6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,-1
"156",9.5,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6,-1
"157",12.8,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4,-1
"158",11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8,-1
"159",10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,-1
"160",8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2,-1
"161",11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,-1
"162",10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,-1
"163",12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,1
"164",11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3,-1
"165",9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,-1
"166",8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,-1
"167",11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,-1
"168",11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,-1
"169",8.4,0.37,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1,-1
"170",6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,-1
"171",11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,1
"172",9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,-1
"173",11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,-1
"174",10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,-1
"175",8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,-1
"176",11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,-1
"177",9.6,0.54,0.42,2.4,0.081,25,52,0.997,3.2,0.71,11.4,-1
"178",12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,-1
"179",10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,-1
"180",10.4,0.24,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11,-1
"181",9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,-1
"182",9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,1
"183",10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,-1
"184",10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,-1
"185",9.3,0.39,0.4,2.6,0.073,10,26,0.9984,3.34,0.75,10.2,-1
"186",9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,-1
"187",8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,-1
"188",6.5,0.39,0.23,8.3,0.051,28,91,0.9952,3.44,0.55,12.1,-1
"189",10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,1
"190",7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,-1
"191",10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,1
"192",8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,-1
"193",7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,-1
"194",11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5,-1
"195",10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,-1
"196",10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,-1
"197",10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,-1
"198",12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9,-1
"199",10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7,-1
"200",9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10,-1
"201",7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,-1
"202",8.2,0.42,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7,-1
"203",9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,-1
"204",10.3,0.27,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8,-1
"205",10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,-1
"206",9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,-1
"207",8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7,-1
"208",9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11,-1
"209",11.2,0.66,0.24,2.5,0.085,16,53,0.9993,3.06,0.72,11,-1
"210",14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4,-1
"211",7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5,-1
"212",10.6,0.31,0.49,2.5,0.067,6,21,0.9987,3.26,0.86,10.7,-1
"213",12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,-1
"214",9,0.53,0.49,1.9,0.171,6,25,0.9975,3.27,0.61,9.4,-1
"215",6.8,0.51,0.01,2.1,0.074,9,25,0.9958,3.33,0.56,9.5,-1
"216",9.4,0.43,0.24,2.8,0.092,14,45,0.998,3.19,0.73,10,-1
"217",9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,-1
"218",10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,-1
"219",10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,-1
"220",13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,-1
"221",7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,0.61,10.1,-1
